pdb_code,issue,value
3bkk,large_pocket,2062.0
3bkl,large_pocket,2133.0
3bl2,large_ligand,155.0
3btr,large_ligand,109.0
3bu6,large_pocket,2088.0
3bu6,large_ligand,121.0
3bu8,large_pocket,2046.0
3bu8,large_ligand,122.0
3bv2,large_pocket,2064.0
3bze,large_pocket,2170.0
3bzf,large_pocket,2134.0
3c3o,large_ligand,107.0
3c3q,large_ligand,149.0
3c3r,large_ligand,104.0
3cfs,large_ligand,119.0
3cfv,large_ligand,143.0
3cii,large_pocket,2752.0
3cyu,large_ligand,103.0
3d1f,large_ligand,108.0
3d32,large_ligand,107.0
3dab,large_ligand,103.0
3drf,large_pocket,2508.0
3drg,large_pocket,2850.0
3ds0,large_ligand,103.0
3ds3,large_ligand,103.0
3ds4,large_ligand,103.0
3dxj,large_pocket,2051.0
3e1r,large_ligand,103.0
3e37,large_pocket,2005.0
3e9h,large_pocket,2069.0
3e9i,large_pocket,2064.0
3eqy,large_ligand,102.0
3ery,large_pocket,2033.0
3eu7,large_ligand,109.0
3f5j,large_pocket,2036.0
3f5k,large_pocket,2103.0
3f6e,large_pocket,2079.0
3fdm,large_ligand,122.0
3fsj,large_pocket,2064.0
3ft2,large_pocket,2020.0
3g08,large_pocket,2030.0
3g5v,large_ligand,122.0
3g5y,large_ligand,122.0
3g8e,large_pocket,2194.0
3ggw,large_ligand,106.0
3ghe,large_ligand,124.0
3gxz,large_ligand,117.0
3gz9,large_pocket,2104.0
3h1z,large_ligand,136.0
3h52,large_ligand,107.0
3hg1,large_pocket,2786.0
3hio,large_ligand,106.0
3hiw,large_ligand,106.0
3hs8,large_ligand,102.0
3hxe,large_pocket,2306.0
3hxf,large_pocket,2169.0
3ig6,large_pocket,2078.0
3ihz,large_pocket,2013.0
3ilq,large_pocket,2321.0
3ipb,large_pocket,2414.0
3ipe,large_pocket,2238.0
3isw,large_ligand,143.0
3iux,large_ligand,153.0
3iwy,large_ligand,109.0
3jzo,large_ligand,107.0
3jzp,large_ligand,109.0
3jzq,large_ligand,112.0
3jzr,large_ligand,109.0
3jzs,large_ligand,112.0
3k23,large_pocket,2097.0
3k48,large_ligand,142.0
3k84,large_pocket,2187.0
3kl8,large_ligand,141.0
3ktr,large_ligand,131.0
3l3n,large_pocket,2036.0
3l3z,large_ligand,104.0
3l6f,large_pocket,2223.0
3l6f,large_ligand,116.0
3l6x,large_ligand,142.0
3lkj,large_pocket,2167.0
3lnj,large_ligand,101.0
3loo,large_pocket,2107.0
3lrh,large_ligand,118.0
3m17,large_ligand,109.0
3mlb,large_pocket,2488.0
3n5e,large_pocket,2051.0
3nan,large_pocket,2146.0
3nfk,large_ligand,104.0
3npc,large_pocket,2045.0
3o0e,large_pocket,2058.0
3o4k,large_pocket,2186.0
3o4l,large_pocket,2704.0
3o6l,large_ligand,122.0
3oe0,large_pocket,2227.0
3oe0,large_ligand,150.0
3oj8,large_pocket,2029.0
3ole,large_pocket,2012.0
3oli,large_pocket,2010.0
3otx,large_pocket,2211.0
3own,large_pocket,2075.0
3p9l,large_pocket,2037.0
3p9m,large_pocket,2054.0
3pdh,large_ligand,112.0
3peq,large_pocket,2017.0
3plu,large_ligand,134.0
3pqz,large_ligand,101.0
3pz3,large_pocket,2107.0
3q6s,large_ligand,131.0
3qn7,large_ligand,127.0
3qo2,large_ligand,106.0
3qxd,large_pocket,2170.0
3qxd,large_ligand,109.0
3rbm,large_pocket,2181.0
3rbq,large_pocket,2218.0
3rg2,large_pocket,2400.0
3rt4,large_pocket,2243.0
3rtx,large_ligand,112.0
3rul,large_ligand,128.0
3rum,large_ligand,147.0
3run,large_ligand,101.0
3rwc,large_pocket,2321.0
3rwd,large_pocket,2312.0
3rwd,large_ligand,106.0
3rwe,large_pocket,2212.0
3rwf,large_pocket,2142.0
3rwg,large_pocket,2274.0
3rwh,large_pocket,2237.0
3rwi,large_pocket,2326.0
3rwj,large_pocket,2142.0
3ryw,large_pocket,2069.0
3rz9,large_pocket,2016.0
3so6,large_ligand,108.0
3t6b,large_pocket,2176.0
3t6j,large_pocket,2140.0
3t8v,large_pocket,2097.0
3tdu,large_ligand,134.0
3tfk,large_pocket,2551.0
3tg5,large_pocket,2713.0
3tiw,large_ligand,149.0
3tjh,large_pocket,2801.0
3tpu,large_pocket,2737.0
3tpx,large_ligand,105.0
3twr,large_ligand,104.0
3tws,large_ligand,109.0
3u4r,large_pocket,2006.0
3uat,large_ligand,126.0
3ubx,large_pocket,2783.0
3ui2,large_ligand,105.0
3uqr,large_pocket,2041.0
3uvu,large_pocket,3041.0
3uvu,large_ligand,147.0
3uxg,large_ligand,119.0
3v2p,large_pocket,2237.0
3v2q,large_pocket,2136.0
3v30,large_ligand,109.0
3v31,large_ligand,130.0
3v3b,large_ligand,120.0
3vfj,large_ligand,131.0
3vjc,large_pocket,2074.0
3vje,large_pocket,2143.0
3vtc,large_pocket,2042.0
3wp0,large_ligand,126.0
3wp1,large_ligand,109.0
3wuu,large_ligand,104.0
3wuv,large_ligand,102.0
3x00,large_pocket,2206.0
3zn1,large_pocket,2035.0
3zqi,large_pocket,2068.0
3zqi,large_ligand,127.0
4a1w,large_ligand,166.0
4a2a,large_ligand,113.0
4aa2,large_pocket,2227.0
4aom,large_ligand,149.0
4aph,large_pocket,2694.0
4aza,large_ligand,113.0
4b4n,large_ligand,111.0
4b60,large_ligand,102.0
4bea,large_ligand,110.0
4bpi,large_ligand,156.0
4bpj,large_ligand,147.0
4bxu,large_ligand,120.0
4c4n,large_ligand,106.0
4ca5,large_pocket,2388.0
4ca6,large_pocket,2358.0
4ca7,large_pocket,2320.0
4ca8,large_pocket,2307.0
4cdr,large_pocket,2017.0
4cy1,large_ligand,104.0
4djs,large_ligand,144.0
4dow,large_ligand,104.0
4dvf,large_pocket,2128.0
4ej2,large_pocket,2028.0
4ejf,large_ligand,103.0
4ery,large_ligand,101.0
4esg,large_ligand,119.0
4euc,large_pocket,2160.0
4f6w,large_pocket,2057.0
4fgy,large_ligand,102.0
4fi9,large_ligand,117.0
4fmq,large_ligand,113.0
4fys,large_pocket,2332.0
4ge9,large_pocket,2108.0
4gpk,large_pocket,2419.0
4gq6,large_pocket,2095.0
4gtt,large_pocket,2037.0
4gw1,large_ligand,101.0
4i7c,large_ligand,118.0
4i7d,large_ligand,115.0
4i80,large_pocket,2214.0
4i9c,large_pocket,2285.0
4iho,large_pocket,2025.0
4ii9,large_pocket,2406.0
4ii9,large_ligand,144.0
4is6,large_pocket,2086.0
4is6,large_ligand,120.0
4j03,large_pocket,2069.0
4j26,large_ligand,102.0
4jfd,large_pocket,2837.0
4jfe,large_pocket,2838.0
4jff,large_pocket,2828.0
4jk5,large_ligand,133.0
4jk6,large_ligand,133.0
4k0u,large_ligand,131.0
4k1e,large_ligand,109.0
4ksy,large_pocket,2173.0
4ktu,large_ligand,107.0
4l3o,large_ligand,144.0
4l4l,large_pocket,2088.0
4loh,large_pocket,2119.0
4loi,large_pocket,2137.0
4loj,large_pocket,2106.0
4lp6,large_pocket,2183.0
4lqg,large_pocket,2111.0
4m1d,large_ligand,111.0
4m6q,large_pocket,2097.0
4m7c,large_ligand,107.0
4mji,large_pocket,2527.0
4mnq,large_pocket,2913.0
4mnv,large_ligand,107.0
4mnw,large_ligand,119.0
4mnx,large_ligand,125.0
4mny,large_ligand,113.0
4mzj,large_ligand,152.0
4mzk,large_ligand,150.0
4mzl,large_ligand,142.0
4n5t,large_ligand,125.0
4n9e,large_pocket,2050.0
4nb3,large_ligand,150.0
4ngh,large_ligand,162.0
4nhc,large_ligand,150.0
4nmx,large_ligand,123.0
4nuf,large_ligand,127.0
4o2c,large_pocket,2182.0
4o2e,large_pocket,2174.0
4o2f,large_pocket,2052.0
4o36,large_ligand,113.0
4o37,large_ligand,126.0
4o3u,large_ligand,115.0
4oc5,large_pocket,2027.0
4odl,large_ligand,132.0
4odn,large_ligand,105.0
4ofb,large_ligand,118.0
4omj,large_pocket,2101.0
4omk,large_pocket,2098.0
4oru,large_pocket,3116.0
4orx,large_pocket,3018.0
4ory,large_pocket,3013.0
4os1,large_ligand,104.0
4os4,large_ligand,104.0
4os5,large_ligand,104.0
4os7,large_ligand,111.0
4ov5,large_pocket,2063.0
4ov5,large_ligand,116.0
4oyk,large_ligand,107.0
4pg9,large_pocket,2037.0
4pgd,large_pocket,2012.0
4pge,large_pocket,2043.0
4pr5,large_pocket,2152.0
4pra,large_pocket,2140.0
4prb,large_pocket,2120.0
4prd,large_pocket,2103.0
4pre,large_pocket,2126.0
4prg,large_pocket,2190.0
4prh,large_pocket,2912.0
4pri,large_pocket,2912.0
4prn,large_pocket,2174.0
4prp,large_pocket,2846.0
4pz5,large_ligand,123.0
4qlk,large_pocket,2132.0
4qll,large_pocket,2149.0
4qok,large_pocket,2594.0
4qqi,large_ligand,125.0
4qy8,large_ligand,115.0
4r1e,large_ligand,133.0
4ris,large_ligand,123.0
4rqi,large_ligand,117.0
4tmk,large_pocket,2418.0
4tzm,large_ligand,103.0
4tzq,large_ligand,103.0
4u0a,large_ligand,104.0
4u2w,large_ligand,112.0
4u6y,large_pocket,2130.0
4u6y,large_ligand,124.0
4ud7,large_ligand,104.0
4ue1,large_ligand,104.0
4umn,large_ligand,112.0
4uu5,large_ligand,118.0
4uv8,large_pocket,2868.0
4uv9,large_pocket,2794.0
4uva,large_pocket,2772.0
4uvb,large_pocket,2728.0
4uvc,large_pocket,2740.0
4w5j,large_pocket,2198.0
4wj5,large_pocket,2070.0
4wri,large_pocket,2296.0
4wy7,large_ligand,148.0
4x3r,large_pocket,2101.0
4x6s,large_ligand,104.0
4x8o,large_pocket,2180.0
4x8p,large_ligand,107.0
4xek,large_ligand,107.0
4xh2,large_ligand,114.0
4y16,large_pocket,2935.0
4yjl,large_pocket,2465.0
4yjl,large_ligand,108.0
4ynk,large_pocket,2012.0
4yp1,large_pocket,2012.0
4z0d,large_ligand,101.0
4z0e,large_ligand,101.0
4z0f,large_ligand,107.0
4z7i,large_pocket,2708.0
4z8a,large_ligand,117.0
5ab0,large_pocket,3153.0
5aei,large_pocket,2279.0
5aei,large_ligand,101.0
5aer,large_ligand,122.0
5ajo,large_pocket,2798.0
5ajo,large_ligand,129.0
5ajp,large_pocket,2120.0
5ajp,large_ligand,108.0
5b4w,large_ligand,144.0
5b5b,large_pocket,2011.0
5bjt,large_ligand,116.0
5brz,large_pocket,2622.0
5bs0,large_pocket,2570.0
5cil,large_ligand,130.0
5cin,large_ligand,148.0
5cqx,large_pocket,2043.0
5cqx,large_ligand,131.0
5dd0,large_ligand,101.0
5dhf,large_ligand,112.0
5dif,large_ligand,123.0
5dqc,large_pocket,2044.0
5dx3,large_ligand,102.0
5dxb,large_ligand,102.0
5dxe,large_ligand,101.0
5e2q,large_pocket,2776.0
5e3a,large_pocket,2275.0
5e8f,large_pocket,2009.0
5eay,large_ligand,108.0
5eje,large_pocket,2182.0
5eoc,large_ligand,103.0
5epp,large_ligand,136.0
5eta,large_ligand,128.0
5etu,large_ligand,102.0
5ey8,large_pocket,2325.0
5ey9,large_pocket,2329.0
5ff6,large_ligand,102.0
5fos,large_ligand,126.0
5gow,large_ligand,160.0
5h5q,large_ligand,121.0
5h5r,large_ligand,122.0
5h5s,large_ligand,109.0
5h7g,large_ligand,122.0
5hhx,large_ligand,121.0
5hm3,large_pocket,2453.0
5hn7,large_pocket,2192.0
5hn9,large_pocket,2211.0
5hna,large_pocket,2223.0
5hog,large_ligand,107.0
5hpm,large_ligand,104.0
5htb,large_pocket,2180.0
5htc,large_pocket,2196.0
5hyq,large_ligand,101.0
5hyr,large_ligand,102.0
5hyx,large_pocket,2013.0
5hyx,large_ligand,114.0
5i22,large_ligand,136.0
5iay,large_ligand,113.0
5isz,large_pocket,2738.0
5ivn,large_ligand,104.0
5ixf,large_ligand,101.0
5iy4,large_ligand,117.0
5izf,large_pocket,2039.0
5izu,large_ligand,121.0
5j3v,large_pocket,2280.0
5j3v,large_ligand,125.0
5j5x,large_pocket,2049.0
5j7j,large_pocket,2055.0
5j7j,large_ligand,164.0
5jhd,large_pocket,2724.0
5jlz,large_pocket,2055.0
5jsm,large_pocket,3317.0
5jt2,large_pocket,3226.0
5jzi,large_pocket,2819.0
5kgn,large_ligand,105.0
5kqd,large_pocket,2227.0
5ksu,large_pocket,2293.0
5ksu,large_ligand,109.0
5ksv,large_pocket,2215.0
5kzp,large_ligand,120.0
5l7f,large_ligand,125.0
5lax,large_pocket,2057.0
5lgp,large_pocket,3117.0
5lgp,large_ligand,105.0
5lgq,large_pocket,2589.0
5lgr,large_pocket,3117.0
5lgr,large_ligand,105.0
5lgs,large_pocket,2593.0
5lvf,large_ligand,120.0
5ly1,large_pocket,2267.0
5ly1,large_ligand,135.0
5ly2,large_pocket,2337.0
5ly2,large_ligand,136.0
5ly3,large_ligand,130.0
5m63,large_ligand,132.0
5m9d,large_ligand,132.0
5mav,large_ligand,120.0
5mtw,large_ligand,109.0
5myx,large_ligand,107.0
5nme,large_pocket,2577.0
5nmf,large_pocket,2691.0
5nmg,large_pocket,2697.0
5npr,large_pocket,2115.0
5nps,large_pocket,2122.0
5nx2,large_pocket,2700.0
5nx2,large_ligand,107.0
5nxq,large_ligand,135.0
5o0e,large_ligand,137.0
5o45,large_ligand,129.0
5o4y,large_ligand,133.0
5ods,large_ligand,148.0
5ogk,large_pocket,2025.0
5ok6,large_ligand,107.0
5ol3,large_ligand,139.0
5osy,large_pocket,2080.0
5oua,large_ligand,146.0
5oy3,large_pocket,2563.0
5oy3,large_ligand,126.0
5szb,large_ligand,112.0
5szc,large_ligand,113.0
5t1i,large_ligand,126.0
5t1k,large_ligand,110.0
5t1l,large_ligand,107.0
5t1m,large_ligand,102.0
5t6z,large_pocket,2471.0
5t70,large_pocket,2605.0
5t90,large_ligand,118.0
5th2,large_ligand,102.0
5tmp,large_pocket,2449.0
5u2j,large_ligand,121.0
5u66,large_ligand,144.0
5ul6,large_ligand,114.0
5unf,large_pocket,2093.0
5ung,large_pocket,2127.0
5unh,large_pocket,2252.0
5uwi,large_ligand,113.0
5v1y,large_ligand,116.0
5v2p,large_ligand,156.0
5v2q,large_ligand,157.0
5v3r,large_ligand,104.0
5v6y,large_ligand,118.0
5va9,large_ligand,155.0
5vb9,large_ligand,128.0
5vk0,large_ligand,107.0
5vlh,large_ligand,116.0
5vll,large_ligand,117.0
5vlp,large_ligand,137.0
5vtb,large_ligand,109.0
5vzy,large_ligand,105.0
5w1v,large_pocket,2630.0
5w1w,large_pocket,2625.0
5w5s,large_ligand,108.0
5w5u,large_ligand,107.0
5w6i,large_ligand,106.0
5w6r,large_ligand,112.0
5w6t,large_ligand,115.0
5w6u,large_ligand,104.0
5wa1,large_ligand,106.0
5wir,large_ligand,109.0
5wkf,large_pocket,2804.0
5wkh,large_pocket,2839.0
5wlg,large_pocket,2933.0
5wqd,large_ligand,101.0
5xgl,large_ligand,114.0
5xjm,large_pocket,2312.0
5xup,large_ligand,109.0
5xwr,large_pocket,2086.0
5xxk,large_ligand,106.0
5xyf,large_ligand,102.0
5y21,large_ligand,110.0
5y24,large_pocket,2251.0
5y7w,large_ligand,130.0
5ybe,large_ligand,160.0
5yc2,large_ligand,113.0
5ypo,large_ligand,118.0
5zjy,large_ligand,116.0
5zjz,large_ligand,130.0
5zk5,large_ligand,129.0
5zk7,large_ligand,117.0
5zk9,large_ligand,120.0
5zml,large_ligand,132.0
5znr,large_ligand,109.0
5zoo,large_ligand,112.0
5zvw,large_pocket,2314.0
5zw6,large_pocket,2318.0
6a03,large_pocket,2114.0
6a04,large_pocket,2164.0
6a05,large_pocket,2007.0
6a06,large_pocket,2124.0
6a5e,large_ligand,125.0
6a6w,large_ligand,133.0
6aee,large_pocket,2154.0
6atv,large_ligand,114.0
6au5,large_pocket,2041.0
6axp,large_pocket,2085.0
6ayn,large_ligand,101.0
6azk,large_ligand,101.0
6bij,large_pocket,2152.0
6bil,large_pocket,2151.0
6bin,large_pocket,2055.0
6bir,large_pocket,2094.0
6bir,large_ligand,102.0
6bix,large_pocket,2062.0
6bix,large_ligand,102.0
6biy,large_pocket,2145.0
6biy,large_ligand,106.0
6biz,large_pocket,2114.0
6biz,large_ligand,105.0
6bj2,large_pocket,2719.0
6bj3,large_pocket,2774.0
6bnh,large_ligand,127.0
6bnk,large_pocket,2892.0
6bnl,large_pocket,2991.0
6buu,large_pocket,2342.0
6buu,large_ligand,113.0
6bvb,large_ligand,106.0
6bw5,large_pocket,2172.0
6ce2,large_pocket,2176.0
6chh,large_pocket,2075.0
6co4,large_ligand,121.0
6coj,large_pocket,2014.0
6d3x,large_ligand,111.0
6d3y,large_ligand,108.0
6d3z,large_ligand,113.0
6d40,large_ligand,110.0
6d78,large_pocket,2638.0
6da1,large_ligand,164.0
6dat,large_ligand,164.0
6dkp,large_pocket,2830.0
6do1,large_pocket,2292.0
6dtn,large_pocket,2096.0
6e49,large_ligand,142.0
6e5x,large_ligand,102.0
6egw,large_ligand,136.0
6eiz,large_pocket,2086.0
6em7,large_ligand,145.0
6ema,large_ligand,136.0
6eq1,large_pocket,2155.0
6eqa,large_pocket,2354.0
6eru,large_ligand,133.0
6erv,large_ligand,139.0
6erw,large_ligand,139.0
6esa,large_ligand,145.0
6et8,large_pocket,2454.0
6f0y,large_ligand,117.0
6f55,large_ligand,115.0
6f6d,large_pocket,2664.0
6f6d,large_ligand,125.0
6f7t,large_ligand,112.0
6f9r,large_pocket,2098.0
6f9t,large_pocket,2080.0
